Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
2009-12-11,0,-15.7,-10.1,-4.4,-15.8,0.32,2.58
2009-12-12,0,-12.8,-7.3,-1.8,-13.2,0.41,3.09
2009-12-13,6.31,-7.4,-4.7,-2.1,-6.1,0.17,1.92
2009-12-14,1.7,-6.7,-4.9,-3.2,-6.3,0.27,1.17
2009-12-15,6.77,-5.9,-3.3,-0.8,-3.6,0.1,0.77
2009-12-16,10.21,-1.1,0.2,1.4,0,0.38,0.99
2009-12-17,8.24,0.9,2.2,3.5,1.8,0.22,0.99
2009-12-18,0.59,0.3,2,3.6,1.7,0.07,0.94
2009-12-19,0.5,1.2,2.3,3.4,1.6,0.24,0.74
2009-12-20,3.36,1.1,1.9,2.6,1.6,0.26,0.4
2009-12-21,10.01,2.2,3.1,4.1,2.6,0.34,1.01
2009-12-22,8.54,-1.6,1,3.6,0.8,0.16,2.01
2009-12-23,0.71,-5.1,-1.2,2.6,-2,0.06,1.99
2009-12-24,0,-4.1,-0.9,2.4,-4.4,0.3,2.55
2009-12-25,0,-7.9,-2.8,2.3,-6,0.12,2.89
2009-12-26,0,-8.2,-3.1,2,-6.4,0.19,2.87
2009-12-27,0,-8.6,-4.1,0.5,-6.9,0.15,2.76
2009-12-28,0,-9.6,-4.4,0.7,-7.2,0.11,2.57
2009-12-29,0,-7.6,-4,-0.3,-5.7,0.27,1.75
2009-12-30,3.29,-5.1,-0.9,3.2,-4.7,0.27,3.3
2009-12-31,1.74,-4,-2.5,-1,-2.7,0.15,1.02
2010-01-01,7.16,-2.3,-0.5,1.3,-1,0.1,1.29
2010-01-02,4.94,0.9,3.9,6.9,1.6,0.16,2.92
2010-01-03,0,-1,2.8,6.6,1.2,0.07,2.83
2010-01-04,0,-0.4,1.5,3.4,0.5,0.16,1.4
2010-01-05,8.7,0.3,2.2,4.2,1.1,0.01,1.73
2010-01-06,16.68,0.6,2.1,3.6,1.7,0.04,0.91
2010-01-07,0,-6.2,-1.6,2.9,-5,0.17,3.35
2010-01-08,0,-7.6,-2.9,1.7,-7.5,0.25,3.57
2010-01-09,1.02,-7.7,-3.5,0.7,-6.7,0.35,2.67
2010-01-10,1.94,-2.1,-0.3,1.4,-1.5,0.27,1.2
2010-01-11,0,-1.6,1.7,5,0.1,0.15,2.19
2010-01-12,4.31,-0.3,2.4,5.1,1.5,0.11,2.26
2010-01-13,2.49,1.9,3.5,5,2.8,0.14,1.09
2010-01-14,3.71,0.7,2.6,4.6,2.5,0.03,0.94
2010-01-15,0,0.7,4.8,9,1.5,0.19,4.48
2010-01-16,0,0.7,4.9,9,0.2,0.21,5.81
2010-01-17,0.74,0.8,4.7,8.6,2.6,0.06,3.93
2010-01-18,0,1.1,3.5,5.8,2.2,0.07,2.02
2010-01-19,0,0.6,5.5,10.3,1.8,0.08,5.07
2010-01-20,0,-0.9,5,10.9,0.4,0.15,6.18
2010-01-21,0,-1.1,4.3,9.7,-0.6,0.17,5.81
2010-01-22,0,-3,3.6,10.1,-1.4,0.16,6.2
2010-01-23,2.75,-3.3,0.4,4.1,-1.1,0.16,2.64
2010-01-24,2.05,0.5,2,3.4,0.9,0.23,1.05
2010-01-25,0.04,0.5,3.6,6.6,0.7,0.2,3.09
2010-01-26,1.01,-0.1,3.2,6.4,1.5,0.02,2.53
2010-01-27,5.88,1.3,3.1,5,1.9,0.11,1.42
2010-01-28,0,-0.8,3.1,7.1,1,0.11,3.14
2010-01-29,0,-0.8,3.9,8.5,0.1,0.3,4.79
2010-01-30,0,-0.3,4.5,9.4,0.2,0.19,5.17
2010-01-31,2.59,-0.1,4.5,9.1,1,0.05,4.93
2010-02-01,1.67,1.3,4.4,7.5,1.7,0.21,3.35
2010-02-02,1.8,1.2,4.9,8.5,1.5,0.2,3.91
2010-02-03,0,0.7,4.4,8.2,1.6,0.22,3.37
2010-02-04,0.72,0.4,4.6,8.8,1.3,0.32,4.21
2010-02-05,0.56,2.5,6.9,11.2,1.6,0.66,6.39
2010-02-06,3.67,2.6,4.7,6.7,2.9,0.25,1.86
2010-02-07,0,0,5.2,10.4,1.7,0.23,4.81
2010-02-08,0,0.6,2.9,5.2,1.2,0.32,1.82
2010-02-09,0,-0.3,3.5,7.2,0.4,0.18,4.08
2010-02-10,0,0.3,3.7,7.1,0,0.36,4.13
2010-02-11,0.79,1.2,4.9,8.6,0.2,0.45,5.71
2010-02-12,2.58,1.5,5.4,9.3,2.8,0.11,4.2
2010-02-13,0.37,1.7,5.4,9.2,3.3,0.17,3.24
2010-02-14,0.19,1.4,5.9,10.4,1.9,0.37,5.33
2010-02-15,4.74,1.7,6.5,11.2,3.6,0.14,6.19
2010-02-16,1.09,2.8,6.9,11,4.4,0.08,4.37
2010-02-17,3.85,2.8,4.9,7,4,0.17,1.16
2010-02-18,0.93,0.4,5.2,10.1,2.3,0.14,4.47
2010-02-19,0,-3.4,3.8,10.9,-0.9,0.15,6.85
2010-02-20,0,-3.6,3.9,11.4,-4.4,0.26,10.51
2010-02-21,0,-5.7,1.9,9.5,-8.2,0.64,9.6
2010-02-22,0,-6.2,1,8.2,-9.1,0.79,8.38
2010-02-23,0,-6,1.7,9.5,-6.8,0.54,8.49
2010-02-24,0,-4.9,3.3,11.4,-5.3,0.67,9.72
2010-02-25,5.77,0.7,2.9,5,1.5,0.19,1.86
2010-02-26,3.33,-1,5.1,11.2,1.3,0.08,6.32
2010-02-27,0,-0.2,5.7,11.5,1.6,0.21,6.71
2010-02-28,0,1.1,6.8,12.6,2.9,0.38,7.01
2010-03-01,0,-1.1,7,15.1,0.9,0.29,11.76
2010-03-02,0,-1.6,7.8,17.1,0.4,0.18,13.09
2010-03-03,0,1.2,8.2,15.2,1,0.76,10.49
2010-03-04,1.21,0.9,7,13.1,3.2,0.23,7.04
2010-03-05,0,0.7,6.9,13.1,2.5,0.28,7.22
2010-03-06,0,-1.2,6.7,14.5,0.9,0.27,9.95
2010-03-07,0,-1.4,7.5,16.4,-0.1,0.37,12.05
2010-03-08,1.13,-1,8,17,0.6,0.4,13
2010-03-09,6.65,0.4,3.4,6.3,0.9,0.48,2.79
2010-03-10,0,-3.4,0.6,4.6,-4.6,0.54,4.44
2010-03-11,0,-4,2.2,8.4,-4.2,0.49,6.95
2010-03-12,0,-3,3.4,9.8,-1.5,0.45,7.12
2010-03-13,5.59,-0.8,8.6,18,0.2,0.09,16.17
2010-03-14,0.94,-1.6,3.2,7.9,-1.4,0.37,5.39
2010-03-15,0,-1.5,5.3,12.1,-1.3,0.51,8.61
2010-03-16,0,0.1,8.3,16.5,-0.4,0.86,12.91
2010-03-17,0,0.8,8.8,16.8,1.2,0.84,12.25
2010-03-18,0,-1.9,5.7,13.4,-2.1,0.8,10.36
2010-03-19,0,-3.1,4.7,12.5,-4.8,0.65,11.01
2010-03-20,0,-3.2,5.7,14.6,-5.5,0.74,13.38
2010-03-21,0,-2.9,7.2,17.3,-4,0.88,15.49
2010-03-22,7.65,0.7,5.8,10.8,2.1,0.3,6.77
2010-03-23,0.66,-0.5,5.8,12.1,0.5,0.19,8.54
2010-03-24,0,-1.2,6.6,14.5,-1,0.45,11.96
2010-03-25,0,-1.3,8,17.3,-1.5,0.47,14.69
2010-03-26,8.67,1.3,6.1,10.8,1.7,0.45,6.49
2010-03-27,3.54,1.3,5.6,9.8,0.8,0.53,5.96
2010-03-28,0.02,1.3,9,16.6,-0.3,0.83,12.95
2010-03-29,5.58,2.2,8.3,14.3,2,0.19,10.35
2010-03-30,17.89,1.9,9.2,16.5,4.5,0.28,8.86
2010-03-31,1.31,1.7,6.3,10.9,0.7,0.85,7.45
2010-04-01,0.64,-0.6,4.5,9.6,-0.6,0.42,6.8
2010-04-02,0,-1.2,4.9,11,-1.1,0.39,8.41
2010-04-03,3.92,-0.8,3.5,7.8,0,0.22,5.35
2010-04-04,0.85,-2.4,2.5,7.5,-2.4,0.3,5.66
2010-04-05,0,-2.7,5,12.7,-3.2,0.32,10.94
2010-04-06,3.77,0.4,3.7,7,0.2,0.33,3.89
2010-04-07,1.79,-0.6,5.2,11,0.8,0.14,7.33
2010-04-08,0.28,-0.4,7.3,14.9,1.2,0.14,10.79
2010-04-09,3.25,-2.7,3.1,8.9,-3.4,0.43,7.33
2010-04-10,0,-2.1,4.4,10.9,-4.9,0.84,9.48
2010-04-11,1.14,-2,7.3,16.6,-3.2,0.82,15.44
2010-04-12,0,4.7,11,17.4,1.6,2.09,12.85
2010-04-13,14.75,3.8,10.6,17.3,3.5,0.25,12.85
2010-04-14,3.13,2.7,6.7,10.6,4.7,0.14,3.91
2010-04-15,0,2.4,10.2,18,2.2,0.51,14.35
2010-04-16,0,2.6,13.3,24.1,2.6,0.84,24.52
2010-04-17,2.23,4.5,15.8,27.1,4.5,1.27,28.77
2010-04-18,3.56,7.3,14.5,21.8,7.5,0.57,17.57
2010-04-19,0,5.5,14.1,22.8,6,0.4,20.33
2010-04-20,0,5.4,16.4,27.3,4.5,1.06,30.65
2010-04-21,0,7.3,16.3,25.3,6.4,1.24,23.04
2010-04-22,3.7,9.1,12.1,15.1,7.5,1.04,6.78
2010-04-23,4.51,3.8,7.4,10.9,4.7,0.55,3.85
2010-04-24,0,3.4,10.1,16.8,0.4,1.36,13.79
2010-04-25,0.55,1.5,7.9,14.4,-1.1,0.81,12.04
2010-04-26,0,1.1,8.3,15.6,-1.1,0.98,13.25
2010-04-27,0.31,1.2,11.7,22.3,2,1.13,20.53
2010-04-28,23.13,2.1,8.3,14.4,6.1,0.22,6.87
2010-04-29,6.16,1.9,7.4,12.9,0.9,0.5,9.39
2010-04-30,11.23,2,4.5,7,2.6,0.2,2.78
2010-05-01,3.62,4.9,6.3,7.8,3,1.42,2.76
2010-05-02,10.92,3.5,6.9,10.3,3.5,0.47,4.71
2010-05-03,7.2,3.8,9.2,14.7,3.1,0.66,10.4
2010-05-04,6.72,2.7,8,13.3,0,0.9,9.7
2010-05-05,0,-0.3,5.3,11,-3.2,0.72,9.12
2010-05-06,0.66,0.2,5.2,10.2,-0.4,0.67,7.5
2010-05-07,1.65,1.8,6.4,11,1.4,0.54,6.71
2010-05-08,0,2.3,9.2,16,0.9,0.8,13.13
2010-05-09,0.61,3.4,8.4,13.3,3.1,0.5,7.97
2010-05-10,0,2.4,10.3,18.2,1.2,0.64,16.37
2010-05-11,2.78,3.1,10.7,18.3,4,0.44,14.75
2010-05-12,0.89,5.1,13,20.9,4.8,0.49,17.97
2010-05-13,0,5.3,13,20.6,3.5,1.09,17.06
2010-05-14,0,5.4,14.3,23.1,3.3,1.49,21.87
2010-05-15,0,6.9,16.5,26,4.3,2.16,27.29
2010-05-16,0,10.8,19.3,27.8,6.1,3.55,30.55
2010-05-17,0,11.2,20.1,28.9,6.6,3.79,31.56
2010-05-18,0,12.8,20,27.2,9.8,2.29,25.35
2010-05-19,2.46,9.3,13,16.6,9.9,0.93,6.8
2010-05-20,7.14,6.9,15.4,23.9,6.5,1.13,21.32
2010-05-21,1.03,2.9,8.1,13.3,1.2,0.99,9.29
2010-05-22,0.52,3,9,15.1,1.7,0.85,12.3
2010-05-23,0.85,4.2,10,15.8,2.4,1,11.49
2010-05-24,0,3.6,10.1,16.6,1.3,0.99,13.23
2010-05-25,0,4.1,9.7,15.3,3.6,0.95,10.05
2010-05-26,0,6,13.9,21.7,3.5,1.3,20.05
2010-05-27,3.09,9.6,14.6,19.6,7.9,1.02,12.89
2010-05-28,7.78,7.3,11.8,16.4,8.7,0.33,7.2
2010-05-29,1.51,7.8,12.2,16.6,6.9,0.71,8.92
2010-05-30,0,9,12.2,15.4,6.1,1.4,8.6
2010-05-31,1.78,9,15.3,21.5,6.7,0.9,18.04
2010-06-01,7.76,10.1,14,17.9,11.4,0.26,6.66
2010-06-02,3.31,10.4,14.3,18.2,10.2,0.49,8.89
2010-06-03,34.9,10.8,13.1,15.4,11.9,0.23,2.28
2010-06-04,6.11,8.7,14.3,19.8,7.3,0.38,14.68
2010-06-05,9.31,9.4,15.3,21.1,10,0.35,12.77
2010-06-06,0.41,9.1,15.7,22.3,6.2,1.38,18.81
2010-06-07,2.68,10.9,15,19,10.9,0.84,8.02
2010-06-08,7.48,9.2,14.9,20.6,9.3,0.54,13.81
2010-06-09,1.75,9.2,17,24.8,8.1,1.33,22.36
2010-06-10,11.55,8.5,13.5,18.4,10.2,0.2,8.39
2010-06-11,2.77,9.6,13.4,17.2,7.8,0.8,9.83
2010-06-12,0.07,8.2,13.6,19,8.5,0.71,10.58
2010-06-13,0,8.4,16.8,25.3,8.9,0.76,21.04
2010-06-14,0,9.1,18.3,27.5,9.2,0.9,25.43
2010-06-15,0,8.9,16,23.2,7.3,1.83,18.26
2010-06-16,0.39,8.6,15.5,22.4,3.8,1.77,19.34
2010-06-17,7.56,7.1,8.7,10.4,5.6,0.64,4.04
2010-06-18,2.83,7.3,9.9,12.5,7.5,0.48,3.92
2010-06-19,0.24,7.2,15.6,24,7.4,0.56,20.38
2010-06-20,8.34,8.6,17,25.4,10.9,0.35,19.96
2010-06-21,14.92,10.3,13.9,17.5,11.2,0.17,6.6
2010-06-22,2.78,10.1,13.2,16.4,11,0.21,5.57
2010-06-23,0,10.6,18.1,25.7,11.6,0.7,20.44
2010-06-24,0,12.7,20.9,29.2,12.4,1.67,25.54
2010-06-25,0,14.4,21.7,29.1,12.5,2.43,26.46
2010-06-26,0,11.6,19.4,27.3,11.9,0.93,23.33
2010-06-27,0,11.1,19.2,27.3,8.9,1.62,26.12
2010-06-28,0,12,20.3,28.5,9.6,2.8,27.96
2010-06-29,0,12.5,21.9,31.3,12.6,1.93,30.44
2010-06-30,0,12.8,19.9,27.1,9.2,3.82,23.47
2010-07-01,0,8.3,15.7,23.1,5,2.19,19.77
2010-07-02,3.35,8.7,16.7,24.8,6.1,0.94,22.91
2010-07-03,2.35,8.6,15.3,22,8.2,0.57,17.68
2010-07-04,0,8.6,15.8,23,6.7,1.47,19.56
2010-07-05,0,8.5,15.7,22.9,7,1.67,18.17
2010-07-06,0,8.6,15.6,22.6,6.3,1.77,18.73
2010-07-07,0,8.5,17.7,26.9,7.2,1.85,26.36
2010-07-08,0,10.5,20.9,31.3,7.7,3.3,37.6
2010-07-09,0,11.9,23,34.1,8.5,4.44,45.21
2010-07-10,0,12.9,23.7,34.5,9.5,4.88,45.08
2010-07-11,0,13.3,23.7,34.2,9.2,4.54,44.28
2010-07-12,0,14.6,23.7,32.9,11.4,4.28,37.78
2010-07-13,0,9.4,19.3,29.3,3.6,3.1,34.23
2010-07-14,0,8.1,14.8,21.6,3,2.79,19.04
2010-07-15,0,8.1,17.2,26.4,6.8,2.93,24.67
2010-07-16,0,9.1,20.5,32,9,2.09,36.9
2010-07-17,0,11.8,22,32.3,5.2,4.85,41.27
2010-07-18,0,11,21.6,32.2,5.4,5.24,39.99
2010-07-19,0,11.2,20.7,30.1,4.3,4.24,36.08
2010-07-20,0,9.3,19.1,29,6.1,3.07,31.27
2010-07-21,0,9.4,20.6,31.9,6.4,3.21,38.94
2010-07-22,0,11,21.6,32.2,6.9,4.62,39.23
2010-07-23,0,11.4,21.5,31.5,7.6,3.68,36.4
2010-07-24,0,11.2,19.7,28.1,7.6,3.03,28
2010-07-25,0,11.2,21.7,32.1,9,3.1,36.84
2010-07-26,0,13.2,24,34.9,9.5,4.9,45.35
2010-07-27,0,15.8,25.8,35.9,10,5.96,48.61
2010-07-28,0.12,14.7,21.1,27.6,13.5,2.28,22.01
2010-07-29,0,12.8,23,33.2,14,0.87,38.24
2010-07-30,0.54,13,23,33.1,11.8,1.2,38.55
2010-07-31,0.05,13.4,24.3,35.1,11.5,2.21,44.62
2010-08-01,0.52,13.6,22.9,32.2,11.7,2.71,35.65
2010-08-02,0,12.3,20.7,29,9.3,2.63,29.66
2010-08-03,0,11.9,21.9,31.9,9.2,3.07,37.85
2010-08-04,0,13.4,23.5,33.5,9.5,3.8,41.74
2010-08-05,0,13.7,24.1,34.6,11.4,3.71,42.38
2010-08-06,6.69,15.4,26.2,37,12.6,2.83,50.43
2010-08-07,0.46,14.2,22.4,30.6,12.3,2.55,29.32
2010-08-08,0,13.9,22.5,31.1,9.2,3.62,35.01
2010-08-09,0,13.7,21.7,29.6,9.9,3.92,29.94
2010-08-10,1.2,12.7,21.6,30.6,9,3.23,32.87
2010-08-11,1.04,13.5,20.9,28.3,9.7,2.12,27.73
2010-08-12,0.41,13.5,20.9,28.3,11.4,2.3,25.4
2010-08-13,0,12.8,21.6,30.4,10.5,2.34,32.6
2010-08-14,0,13.5,21.2,29,8,4.03,30.41
2010-08-15,0,12.1,21.7,31.4,7.3,4.33,36.93
2010-08-16,0,13.2,23.7,34.1,8,4.65,44.35
2010-08-17,0,14,24.5,35.1,7.7,5.42,46.92
2010-08-18,0,14.2,25.4,36.7,6.2,5.76,53.62
2010-08-19,0,14.3,23.6,32.8,7.9,6.03,40.28
2010-08-20,0,10.8,21,31.2,2.7,4.96,39.6
2010-08-21,0,10.2,20.4,30.7,0.2,5.44,38.72
2010-08-22,0,10.8,21.5,32.1,1.6,5.53,42.29
2010-08-23,0,8.6,15.7,22.9,5.3,3.03,19.01
2010-08-24,0,8,16.6,25.2,3.2,2.67,25.72
2010-08-25,0,8.3,19.6,31,3.1,4.11,38.35
2010-08-26,0,10.6,23.7,36.9,3.8,4.74,55.32
2010-08-27,0,8.6,22,35.3,4.4,3.38,48.96
2010-08-28,0,8.7,15.8,22.8,1.8,4.05,21.63
2010-08-29,1.37,9.1,12.9,16.7,4.3,2.13,11.6
2010-08-30,0,4,12.7,21.3,4.3,0.34,18
2010-08-31,0,6.4,14.9,23.3,4.8,1.61,21.73
2010-09-01,12.64,7.5,14.5,21.5,7.4,0.31,18.15
2010-09-02,2.88,8.8,15.4,22,9.2,0.61,15.92
2010-09-03,0,9,17.7,26.4,6.4,1.64,25.77
2010-09-04,0,9.7,21,32.3,7.2,2.39,38.89
2010-09-05,0,8.8,18,27.3,4.8,2.56,27.46
2010-09-06,0.4,6.1,12.5,19,2.1,1.83,15.79
2010-09-07,0,6.7,14.3,21.9,2.8,2.1,19.96
2010-09-08,0,9.3,15.6,22,5.3,2.83,18.84
2010-09-09,5.66,10,14.1,18.2,9.2,0.54,9.48
2010-09-10,0.87,10,13.6,17.2,8.6,0.73,8.48
2010-09-11,0,6.2,12.6,19,5.1,1.2,13.71
2010-09-12,0,6,14.9,23.9,4.1,1.31,21.88
2010-09-13,0,6.7,16.8,26.8,4.8,2.52,26.58
2010-09-14,0,7.9,17.9,27.9,6.8,2.14,27.63
2010-09-15,0,9.9,18.5,27,7.2,2.71,26.84
2010-09-16,1.16,9.4,17.7,26,8.4,1.65,23.5
2010-09-17,0.8,13.5,17.9,22.3,11.8,1.65,14
2010-09-18,4.31,14,19.8,25.6,11.9,2.14,19.15
2010-09-19,0.81,13.5,18.7,24,12.5,1.5,16.03
2010-09-20,11.73,11.2,15.8,20.4,10.7,0.82,11.96
2010-09-21,1.39,11.1,15.3,19.5,8.9,1.43,11.59
2010-09-22,0,6.5,12,17.4,5.5,1.24,11.38
2010-09-23,0,5.4,13,20.7,3.9,1.14,16.86
2010-09-24,0.27,5.2,12.4,19.7,5.9,0.57,15.18
2010-09-25,0,8.1,15.3,22.5,6.4,1.24,18.72
2010-09-26,0,8.9,19.1,29.2,6.2,2.36,31.03
2010-09-27,0,8.9,16.3,23.7,8.2,1.87,17.79
2010-09-28,0,9.6,19.1,28.6,10.3,1.1,26.53
2010-09-29,0,10.9,20,29,11,1.54,26.41
2010-09-30,0,10.8,19.9,29,10.4,1.32,27.38
2010-10-01,0,9.8,20.3,30.7,9.6,1.43,32.17
2010-10-02,0,10.6,20.7,30.8,8.7,2.34,33.34
2010-10-03,0,10.5,20.2,29.8,6.9,2.7,32.23
2010-10-04,5.31,10.8,17.9,24.9,10.7,0.53,20.58
2010-10-05,3.22,9.2,13.2,17.2,8.6,0.79,9.13
2010-10-06,0,5,12.5,19.9,6.3,0.29,13.88
2010-10-07,0.12,6.3,14.8,23.3,9,0.59,16.95
2010-10-08,7.22,10.9,15.8,20.8,11,0.59,11.15
2010-10-09,0.95,8.3,11.8,15.3,8.8,0.57,6.06
2010-10-10,1.13,8.6,14.8,21,10.2,0.66,13.29
2010-10-11,4.45,3.9,13,22.1,11.1,0.11,11.39
2010-10-12,0,2.2,8.9,15.6,1.9,0.74,11.58
2010-10-13,0,1.9,9.1,16.2,1.7,0.94,11.36
2010-10-14,0,2.7,11.6,20.6,1.9,1.03,16.74
2010-10-15,0,4,12.5,21.1,2.7,1.34,17.86
2010-10-16,0,1.6,8.9,16.3,-0.6,1.27,13.51
2010-10-17,0,1.5,8.2,14.9,-0.2,1.25,10.65
2010-10-18,0,0.2,8.1,16.1,-1.4,0.93,12.58
2010-10-19,0,0.2,8.1,16,-1.2,1.05,12.32
2010-10-20,0,0.4,9,17.7,0.2,0.94,13.97
2010-10-21,0,1.4,10.2,19,2.5,0.82,13.88
2010-10-22,0,3.3,10.9,18.6,3.2,0.98,13.35
2010-10-23,0,5.1,12.1,19.1,5.1,0.77,13.58
2010-10-24,4.56,5.4,8,10.7,6.2,0.29,2.91
2010-10-25,9.84,3.8,7.2,10.5,4.5,0.32,3.54
2010-10-26,8.3,3.4,5.3,7.1,2.1,0.95,2.7
2010-10-27,1.79,3.2,5.3,7.4,1.9,0.78,3.49
2010-10-28,0.66,2.7,7.5,12.2,1.7,0.59,6.86
2010-10-29,2.21,2.7,5.4,8,2.8,0.29,3.7
2010-10-30,4.16,2.5,5.4,8.3,4.7,0.12,1.9
2010-10-31,9.56,2.7,6.1,9.4,5.1,0.18,3.24
2010-11-01,1.93,5,9,13,5,0.26,6.44
2010-11-02,1,4.3,8.2,12.2,6.7,0.3,4.21
2010-11-03,1.43,3.7,9.8,16,6.5,0.35,8.4
2010-11-04,0.13,2.3,9.1,15.8,5,0.19,8.35
2010-11-05,0,3.7,10.2,16.6,5.6,0.34,8.57
2010-11-06,0,4.7,8.5,12.4,6.1,0.63,5.4
2010-11-07,0,6.3,12.5,18.7,7.2,0.25,11.21
2010-11-08,14.6,3.4,6.7,9.9,5.3,0.24,2.06
2010-11-09,1.85,0.7,4.1,7.6,1.6,0.25,3.32
2010-11-10,2.94,1.2,5.1,9,0,0.52,5.89
2010-11-11,0.95,1.4,3.6,5.9,1.3,0.34,2.44
2010-11-12,1.89,1.8,5.2,8.7,0.9,0.35,4.86
2010-11-13,0.46,0.6,4.2,7.8,0.9,0.35,3.88
2010-11-14,3.38,1.9,3.6,5.4,1.4,0.44,2.3
2010-11-15,5.2,3.6,5.1,6.5,4.3,0.17,1.06
2010-11-16,7.76,5,7.5,9.9,5.7,0.22,3.42
